rootIdx	rootAuth	nodeIdx1	nodeAuth1	nodeIdx2	nodeAuth2	nodeIdx3	nodeAuth3	nodeIdx4	nodeAuth4	nodeIdx5	nodeAuth5	nodeIdx6	nodeAuth6	nodeIdx7	nodeAuth7	nodeIdx8	nodeAuth8	nodeIdx9	nodeAuth9	nodeIdx10	nodeAuth10	nodeIdx11	nodeAuth11	nodeIdx12	nodeAuth12	nodeIdx13	nodeAuth13	nodeIdx14	nodeAuth14	nodeIdx15	nodeAuth15	nodeIdx16	nodeAuth16	nodeIdx17	nodeAuth17	nodeIdx18	nodeAuth18	nodeIdx19	nodeAuth19
1304.0	154668	284221.0	473553																																				
1304.0	154668	944450.0	1241890																																				
1304.0	154668	1469929.0	1668621																																				
1307.0	154668	623006.0	219815																																				
1308.0	154668	8511.0	159168																																				
1308.0	154668	9712.0	158461																																				
1310.0	154668	53409.0	211968																																				
1310.0	154668	226025.0	100008																																				
1319.0	154668	71265.0	229529																																				
1322.0	154668	2201837.0	1342918																																				
1330.0	154668	64724.0	227434																																				
1330.0	154668	93612.0	261437																																				
1330.0	154668	210861.0	390685																																				
1330.0	154668	370562.0	604286																																				
1334.0	154668	12213.0	160729																																				
1334.0	154668	27254.0	157984	27256.0	157984.0																																		
1334.0	154668	27254.0	157984	27351.0	157984.0	29211.0	157984.0	29303.0	160579.0																														
1334.0	154668	27254.0	157984	27351.0	157984.0	29211.0	157984.0	29854.0	116734.0																														
1334.0	154668	27254.0	157984	27351.0	157984.0	29211.0	157984.0	29852.0	116734.0	2100561.0	223223.0																												
1334.0	154668	27254.0	157984	27351.0	157984.0	29211.0	157984.0	2120893.0	116734.0																														
1334.0	154668	27254.0	157984	27351.0	157984.0	29211.0	157984.0	29852.0	116734.0	2121921.0	223223.0																												
1340.0	154668	881858.0	1199562	881870.0	1199562.0																																		
1340.0	154668	881858.0	1199562	881878.0	1199562.0																																		
1345.0	154668	5728.0	157364																																				
1345.0	154668	7527.0	158631																																				
1345.0	154668	68486.0	232833																																				
1346.0	154668	14980.0	158461	14992.0	163281.0																																		
1346.0	154668	14998.0	160919																																				
1347.0	154668	457374.0	611590																																				
1347.0	154668	1922157.0	360646																																				
1348.0	154668	76043.0	242499																																				
1348.0	154668	356346.0	583386																																				
1348.0	154668	692494.0	995354																																				
1348.0	154668	1902905.0	953094																																				
1349.0	154668	266470.0	450046																																				
1352.0	154668	87743.0	100006																																				
1352.0	154668	582321.0	865197																																				
1352.0	154668	1529297.0	1714269																																				
1353.0	154668	12108.0	161103																																				
1353.0	154668	25261.0	160579																																				
1354.0	154668	7025.0	158380	7027.0	158380.0																																		
1354.0	154668	11969.0	160568																																				
1354.0	154668	77755.0	244706																																				
1354.0	154668	219813.0	399997																																				
1354.0	154668	399085.0	640186																																				
1354.0	154668	553037.0	822625																																				
1354.0	154668	553049.0	822625																																				
1354.0	154668	553077.0	822625																																				
1354.0	154668	553093.0	822625																																				
1354.0	154668	553101.0	822625																																				
1354.0	154668	553109.0	822625																																				
1354.0	154668	881894.0	1199562																																				
1354.0	154668	937862.0	1241890																																				
1354.0	154668	1238722.0	1491858																																				
1355.0	154668	12923.0	158461																																				
1356.0	154668	49404.0	206015																																				
1357.0	154668	840318.0	1018829	840350.0	1018829.0																																		
1361.0	154668	454174.0	699881																																				
1362.0	154668	7531.0	158631	19260.0	155434.0																																		
1364.0	154668	16797.0	159249	16802.0	159249.0	16811.0	159249.0																																
1368.0	154668	13968.0	158461	14090.0	116734.0																																		
1368.0	154668	13968.0	158461	14403.0	155434.0	14405.0	155434.0																																
1370.0	154668	17442.0	159249																																				
1370.0	154668	18752.0	159249	18756.0	159249.0	18784.0	165657.0																																
1370.0	154668	18752.0	159249	18756.0	159249.0	18780.0	159004.0	18903.0	165307.0	18962.0	155972.0																												
1370.0	154668	18752.0	159249	18756.0	159249.0	18972.0	156281.0																																
1370.0	154668	18752.0	159249	18756.0	159249.0	18780.0	159004.0	19173.0	155972.0																														
1370.0	154668	18752.0	159249	18756.0	159249.0	18780.0	159004.0	19362.0	155972.0	19427.0	165889.0																												
1370.0	154668	32407.0	159249																																				
1370.0	154668	35102.0	159249																																				
1370.0	154668	35379.0	159249	35583.0	182636.0																																		
